Place,Population,Per Capita Income,Poverty Count,Poverty Rate,County,State
"Adams County, Ohio",27776,22366,5666,0.2,Adams County,Ohio
"Allen County, Ohio",103175,26761,13819,0.13,Allen County,Ohio
"Ashland County, Ohio",53536,26017,7048,0.13,Ashland County,Ohio
"Ashtabula County, Ohio",97830,24265,18825,0.19,Ashtabula County,Ohio
"Athens County, Ohio",65917,22040,16942,0.26,Athens County,Ohio
"Auglaize County, Ohio",45729,31198,3773,0.08,Auglaize County,Ohio
"Belmont County, Ohio",68024,27580,7900,0.12,Belmont County,Ohio
"Brown County, Ohio",43572,26696,6557,0.15,Brown County,Ohio
"Butler County, Ohio",380019,31921,46018,0.12,Butler County,Ohio
"Carroll County, Ohio",27332,29518,3306,0.12,Carroll County,Ohio
"Champaign County, Ohio",38845,27722,3845,0.1,Champaign County,Ohio
"Clark County, Ohio",134726,27066,19570,0.15,Clark County,Ohio
"Clermont County, Ohio",204275,34390,18162,0.09,Clermont County,Ohio
"Clinton County, Ohio",41957,26690,6002,0.14,Clinton County,Ohio
"Columbiana County, Ohio",103190,26469,14196,0.14,Columbiana County,Ohio
"Coshocton County, Ohio",36585,23432,5181,0.14,Coshocton County,Ohio
"Crawford County, Ohio",41821,25744,6118,0.15,Crawford County,Ohio
"Cuyahoga County, Ohio",1247451,33114,213209,0.17,Cuyahoga County,Ohio
"Darke County, Ohio",51513,27855,5331,0.1,Darke County,Ohio
"Defiance County, Ohio",38160,29816,3809,0.1,Defiance County,Ohio
"Delaware County, Ohio",201135,48117,9530,0.05,Delaware County,Ohio
"Erie County, Ohio",74780,32790,8608,0.12,Erie County,Ohio
"Fairfield County, Ohio",154457,32021,13930,0.09,Fairfield County,Ohio
"Fayette County, Ohio",28620,26079,4551,0.16,Fayette County,Ohio
"Franklin County, Ohio",1290360,33998,197950,0.15,Franklin County,Ohio
"Fulton County, Ohio",42253,29600,3263,0.08,Fulton County,Ohio
"Gallia County, Ohio",30088,24130,6055,0.2,Gallia County,Ohio
"Geauga County, Ohio",93843,42958,5344,0.06,Geauga County,Ohio
"Greene County, Ohio",166502,35833,18252,0.11,Greene County,Ohio
"Guernsey County, Ohio",39111,24742,7664,0.2,Guernsey County,Ohio
"Hamilton County, Ohio",813589,35570,125456,0.15,Hamilton County,Ohio
"Hancock County, Ohio",75837,32797,7937,0.1,Hancock County,Ohio
"Hardin County, Ohio",31425,23383,4029,0.13,Hardin County,Ohio
"Harrison County, Ohio",15211,24940,2380,0.16,Harrison County,Ohio
"Henry County, Ohio",27208,28830,2246,0.08,Henry County,Ohio
"Highland County, Ohio",43016,23543,8213,0.19,Highland County,Ohio
"Hocking County, Ohio",28390,25588,3681,0.13,Hocking County,Ohio
"Holmes County, Ohio",43901,23404,4283,0.1,Holmes County,Ohio
"Huron County, Ohio",58339,26133,7580,0.13,Huron County,Ohio
"Jackson County, Ohio",32450,23254,5983,0.18,Jackson County,Ohio
"Jefferson County, Ohio",66371,26391,11207,0.17,Jefferson County,Ohio
"Knox County, Ohio",61481,26390,7593,0.12,Knox County,Ohio
"Lake County, Ohio",229954,34409,18325,0.08,Lake County,Ohio
"Lawrence County, Ohio",60184,24562,10712,0.18,Lawrence County,Ohio
"Licking County, Ohio",173750,31617,17750,0.1,Licking County,Ohio
"Logan County, Ohio",45316,29424,5090,0.11,Logan County,Ohio
"Lorain County, Ohio",307670,30928,40189,0.13,Lorain County,Ohio
"Lucas County, Ohio",431102,29226,78848,0.18,Lucas County,Ohio
"Madison County, Ohio",44135,29164,3518,0.08,Madison County,Ohio
"Mahoning County, Ohio",229961,28378,39109,0.17,Mahoning County,Ohio
"Marion County, Ohio",65299,24484,8790,0.13,Marion County,Ohio
"Medina County, Ohio",177980,37788,10627,0.06,Medina County,Ohio
"Meigs County, Ohio",23078,24899,4483,0.19,Meigs County,Ohio
"Mercer County, Ohio",40884,29765,2591,0.06,Mercer County,Ohio
"Miami County, Ohio",105371,31254,9521,0.09,Miami County,Ohio
"Monroe County, Ohio",13942,26476,2356,0.17,Monroe County,Ohio
"Montgomery County, Ohio",531670,30034,85528,0.16,Montgomery County,Ohio
"Morgan County, Ohio",14640,22937,2774,0.19,Morgan County,Ohio
"Morrow County, Ohio",35043,28257,3363,0.1,Morrow County,Ohio
"Muskingum County, Ohio",86131,25148,13396,0.16,Muskingum County,Ohio
"Noble County, Ohio",14416,24440,1874,0.13,Noble County,Ohio
"Ottawa County, Ohio",40632,34560,4044,0.1,Ottawa County,Ohio
"Paulding County, Ohio",18809,28300,1843,0.1,Paulding County,Ohio
"Perry County, Ohio",36022,23484,6783,0.19,Perry County,Ohio
"Pickaway County, Ohio",57762,27760,6431,0.11,Pickaway County,Ohio
"Pike County, Ohio",28000,24318,5161,0.18,Pike County,Ohio
"Portage County, Ohio",162511,30054,19808,0.12,Portage County,Ohio
"Preble County, Ohio",41093,28890,4100,0.1,Preble County,Ohio
"Putnam County, Ohio",33911,31743,2557,0.08,Putnam County,Ohio
"Richland County, Ohio",121100,25585,15321,0.13,Richland County,Ohio
"Ross County, Ohio",76948,24913,12307,0.16,Ross County,Ohio
"Sandusky County, Ohio",59029,27319,6706,0.11,Sandusky County,Ohio
"Scioto County, Ohio",76040,23719,16330,0.21,Scioto County,Ohio
"Seneca County, Ohio",55351,27100,6663,0.12,Seneca County,Ohio
"Shelby County, Ohio",48749,29381,4240,0.09,Shelby County,Ohio
"Stark County, Ohio",372404,29495,49165,0.13,Stark County,Ohio
"Summit County, Ohio",541334,33606,70281,0.13,Summit County,Ohio
"Trumbull County, Ohio",200367,26935,33883,0.17,Trumbull County,Ohio
"Tuscarawas County, Ohio",92335,27057,11645,0.13,Tuscarawas County,Ohio
"Union County, Ohio",56707,37384,3143,0.06,Union County,Ohio
"Van Wert County, Ohio",28261,27115,3090,0.11,Van Wert County,Ohio
"Vinton County, Ohio",13083,21781,2447,0.19,Vinton County,Ohio
"Warren County, Ohio",229132,41792,10071,0.04,Warren County,Ohio
"Washington County, Ohio",60426,28782,8337,0.14,Washington County,Ohio
"Wayne County, Ohio",116099,27884,12618,0.11,Wayne County,Ohio
"Williams County, Ohio",36816,27124,3966,0.11,Williams County,Ohio
"Wood County, Ohio",130150,32431,15936,0.12,Wood County,Ohio
"Wyandot County, Ohio",22000,28541,1611,0.07,Wyandot County,Ohio
"Adair County, Oklahoma",22220,17026,6124,0.28,Adair County,Oklahoma
"Alfalfa County, Oklahoma",5847,27615,433,0.07,Alfalfa County,Oklahoma
"Atoka County, Oklahoma",13823,20443,2538,0.18,Atoka County,Oklahoma
"Beaver County, Oklahoma",5377,24514,599,0.11,Beaver County,Oklahoma
"Beckham County, Oklahoma",22268,24480,3363,0.15,Beckham County,Oklahoma
"Blaine County, Oklahoma",9556,25851,981,0.1,Blaine County,Oklahoma
"Bryan County, Oklahoma",46457,23979,7728,0.17,Bryan County,Oklahoma
"Caddo County, Oklahoma",29242,23167,5274,0.18,Caddo County,Oklahoma
"Canadian County, Oklahoma",140455,30755,11389,0.08,Canadian County,Oklahoma
"Carter County, Oklahoma",48319,26094,7637,0.16,Carter County,Oklahoma
"Cherokee County, Oklahoma",48664,22161,10362,0.21,Cherokee County,Oklahoma
"Choctaw County, Oklahoma",14807,21277,4032,0.27,Choctaw County,Oklahoma
"Cimarron County, Oklahoma",2174,29115,363,0.17,Cimarron County,Oklahoma
"Cleveland County, Oklahoma",279274,31571,32098,0.11,Cleveland County,Oklahoma
"Coal County, Oklahoma",5581,24055,1207,0.22,Coal County,Oklahoma
"Comanche County, Oklahoma",121762,26449,17964,0.15,Comanche County,Oklahoma
"Cotton County, Oklahoma",5858,23564,1037,0.18,Cotton County,Oklahoma
"Craig County, Oklahoma",14390,21318,2503,0.17,Craig County,Oklahoma
"Creek County, Oklahoma",71427,26044,10555,0.15,Creek County,Oklahoma
"Custer County, Oklahoma",29152,26520,5000,0.17,Custer County,Oklahoma
"Delaware County, Oklahoma",42433,24070,7690,0.18,Delaware County,Oklahoma
"Dewey County, Oklahoma",4922,28310,799,0.16,Dewey County,Oklahoma
"Ellis County, Oklahoma",4015,28195,634,0.16,Ellis County,Oklahoma
"Garfield County, Oklahoma",61898,28333,8279,0.13,Garfield County,Oklahoma
"Garvin County, Oklahoma",27835,24880,4166,0.15,Garvin County,Oklahoma
"Grady County, Oklahoma",55071,30242,6253,0.11,Grady County,Oklahoma
"Grant County, Oklahoma",4397,28815,293,0.07,Grant County,Oklahoma
"Greer County, Oklahoma",5861,18907,975,0.17,Greer County,Oklahoma
"Harmon County, Oklahoma",2710,26045,383,0.14,Harmon County,Oklahoma
"Harper County, Oklahoma",3760,24130,554,0.15,Harper County,Oklahoma
"Haskell County, Oklahoma",12687,22074,2391,0.19,Haskell County,Oklahoma
"Hughes County, Oklahoma",13372,20572,2465,0.18,Hughes County,Oklahoma
"Jackson County, Oklahoma",25063,25555,4204,0.17,Jackson County,Oklahoma
"Jefferson County, Oklahoma",6158,24313,1283,0.21,Jefferson County,Oklahoma
"Johnston County, Oklahoma",11064,21197,2238,0.2,Johnston County,Oklahoma
"Kay County, Oklahoma",44402,26189,7517,0.17,Kay County,Oklahoma
"Kingfisher County, Oklahoma",15694,31724,1865,0.12,Kingfisher County,Oklahoma
"Kiowa County, Oklahoma",8886,21482,2072,0.23,Kiowa County,Oklahoma
"Latimer County, Oklahoma",10348,25240,1859,0.18,Latimer County,Oklahoma
"Le Flore County, Oklahoma",50026,20902,10082,0.2,Le Flore County,Oklahoma
"Lincoln County, Oklahoma",34895,25255,4778,0.14,Lincoln County,Oklahoma
"Logan County, Oklahoma",46683,31105,6302,0.13,Logan County,Oklahoma
"Love County, Oklahoma",10063,22036,1491,0.15,Love County,Oklahoma
"McClain County, Oklahoma",39247,32259,3021,0.08,McClain County,Oklahoma
"McCurtain County, Oklahoma",33016,20671,7392,0.22,McCurtain County,Oklahoma
"McIntosh County, Oklahoma",19725,23268,4027,0.2,McIntosh County,Oklahoma
"Major County, Oklahoma",7692,28609,942,0.12,Major County,Oklahoma
"Marshall County, Oklahoma",16505,22781,2755,0.17,Marshall County,Oklahoma
"Mayes County, Oklahoma",41044,24472,7317,0.18,Mayes County,Oklahoma
"Murray County, Oklahoma",13946,26943,2089,0.15,Murray County,Oklahoma
"Muskogee County, Oklahoma",68736,23826,13641,0.2,Muskogee County,Oklahoma
"Noble County, Oklahoma",11335,28011,1207,0.11,Noble County,Oklahoma
"Nowata County, Oklahoma",10322,22930,1605,0.16,Nowata County,Oklahoma
"Okfuskee County, Oklahoma",12067,18437,2889,0.24,Okfuskee County,Oklahoma
"Oklahoma County, Oklahoma",787216,31609,123116,0.16,Oklahoma County,Oklahoma
"Okmulgee County, Oklahoma",38749,23431,7230,0.19,Okmulgee County,Oklahoma
"Osage County, Oklahoma",47226,25473,7136,0.15,Osage County,Oklahoma
"Ottawa County, Oklahoma",31454,20814,6302,0.2,Ottawa County,Oklahoma
"Pawnee County, Oklahoma",16412,24303,2567,0.16,Pawnee County,Oklahoma
"Payne County, Oklahoma",81815,24057,19739,0.24,Payne County,Oklahoma
"Pittsburg County, Oklahoma",44146,25524,7057,0.16,Pittsburg County,Oklahoma
"Pontotoc County, Oklahoma",38355,26187,5414,0.14,Pontotoc County,Oklahoma
"Pottawatomie County, Oklahoma",72154,24178,11177,0.15,Pottawatomie County,Oklahoma
"Pushmataha County, Oklahoma",11128,22435,2244,0.2,Pushmataha County,Oklahoma
"Roger Mills County, Oklahoma",3667,30866,626,0.17,Roger Mills County,Oklahoma
"Rogers County, Oklahoma",91353,32148,8865,0.1,Rogers County,Oklahoma
"Seminole County, Oklahoma",24832,20666,4910,0.2,Seminole County,Oklahoma
"Sequoyah County, Oklahoma",41709,20384,8851,0.21,Sequoyah County,Oklahoma
"Stephens County, Oklahoma",43647,25769,6100,0.14,Stephens County,Oklahoma
"Texas County, Oklahoma",20805,22003,3988,0.19,Texas County,Oklahoma
"Tillman County, Oklahoma",7413,21974,1402,0.19,Tillman County,Oklahoma
"Tulsa County, Oklahoma",646419,32044,95237,0.15,Tulsa County,Oklahoma
"Wagoner County, Oklahoma",78958,29415,8116,0.1,Wagoner County,Oklahoma
"Washington County, Oklahoma",51886,30847,6738,0.13,Washington County,Oklahoma
"Washita County, Oklahoma",11225,26265,1583,0.14,Washita County,Oklahoma
"Woods County, Oklahoma",9043,27427,1077,0.12,Woods County,Oklahoma
"Woodward County, Oklahoma",20727,28915,2253,0.11,Woodward County,Oklahoma
"Baker County, Oregon",16019,28700,1921,0.12,Baker County,Oregon
"Benton County, Oregon",91107,33817,16319,0.18,Benton County,Oregon
"Clackamas County, Oregon",410463,41492,32603,0.08,Clackamas County,Oregon
"Clatsop County, Oregon",39102,29757,3864,0.1,Clatsop County,Oregon
"Columbia County, Oregon",51375,31883,5928,0.12,Columbia County,Oregon
"Coos County, Oregon",63686,27582,10111,0.16,Coos County,Oregon
"Crook County, Oregon",23011,27007,3082,0.13,Crook County,Oregon
"Curry County, Oregon",22650,30021,2796,0.12,Curry County,Oregon
"Deschutes County, Oregon",186251,35507,19976,0.11,Deschutes County,Oregon
"Douglas County, Oregon",109114,26478,15801,0.14,Douglas County,Oregon
"Gilliam County, Oregon",1878,26482,194,0.1,Gilliam County,Oregon
"Grant County, Oregon",7189,27367,1283,0.18,Grant County,Oregon
"Harney County, Oregon",7267,26370,751,0.1,Harney County,Oregon
"Hood River County, Oregon",23209,34926,1419,0.06,Hood River County,Oregon
"Jackson County, Oregon",216574,30250,33234,0.15,Jackson County,Oregon
"Jefferson County, Oregon",23607,23987,4017,0.17,Jefferson County,Oregon
"Josephine County, Oregon",86251,25167,15384,0.18,Josephine County,Oregon
"Klamath County, Oregon",66921,25880,12853,0.19,Klamath County,Oregon
"Lake County, Oregon",7837,24241,1332,0.17,Lake County,Oregon
"Lane County, Oregon",373340,29705,64457,0.17,Lane County,Oregon
"Lincoln County, Oregon",48547,27861,7794,0.16,Lincoln County,Oregon
"Linn County, Oregon",125048,27345,16376,0.13,Linn County,Oregon
"Malheur County, Oregon",30412,18974,5808,0.19,Malheur County,Oregon
"Marion County, Oregon",339641,27338,46970,0.14,Marion County,Oregon
"Morrow County, Oregon",11303,23682,1632,0.14,Morrow County,Oregon
"Multnomah County, Oregon",804606,39245,108947,0.14,Multnomah County,Oregon
"Polk County, Oregon",83037,29440,10263,0.12,Polk County,Oregon
"Sherman County, Oregon",1642,31615,220,0.13,Sherman County,Oregon
"Tillamook County, Oregon",26389,27659,3365,0.13,Tillamook County,Oregon
"Umatilla County, Oregon",77129,24444,12926,0.17,Umatilla County,Oregon
"Union County, Oregon",26337,27646,3573,0.14,Union County,Oregon
"Wallowa County, Oregon",7004,30485,941,0.13,Wallowa County,Oregon
"Wasco County, Oregon",26130,27445,2969,0.11,Wasco County,Oregon
"Washington County, Oregon",589481,39679,52106,0.09,Washington County,Oregon
"Wheeler County, Oregon",1415,21702,195,0.14,Wheeler County,Oregon
"Yamhill County, Oregon",104831,31314,12117,0.12,Yamhill County,Oregon
"Adams County, Pennsylvania",102470,31590,7622,0.07,Adams County,Pennsylvania
"Allegheny County, Pennsylvania",1221744,38709,138335,0.11,Allegheny County,Pennsylvania
"Armstrong County, Pennsylvania",65867,27715,7215,0.11,Armstrong County,Pennsylvania
"Beaver County, Pennsylvania",165833,31305,17994,0.11,Beaver County,Pennsylvania
"Bedford County, Pennsylvania",48337,26078,5679,0.12,Bedford County,Pennsylvania
"Berks County, Pennsylvania",418025,31571,48573,0.12,Berks County,Pennsylvania
"Blair County, Pennsylvania",123157,28119,17648,0.14,Blair County,Pennsylvania
"Bradford County, Pennsylvania",60963,28392,7643,0.13,Bradford County,Pennsylvania
"Bucks County, Pennsylvania",626806,45849,36275,0.06,Bucks County,Pennsylvania
"Butler County, Pennsylvania",186899,37811,14957,0.08,Butler County,Pennsylvania
"Cambria County, Pennsylvania",133009,26008,19466,0.15,Cambria County,Pennsylvania
"Cameron County, Pennsylvania",4611,24528,698,0.15,Cameron County,Pennsylvania
"Carbon County, Pennsylvania",63887,29202,7328,0.11,Carbon County,Pennsylvania
"Centre County, Pennsylvania",161960,30753,26030,0.16,Centre County,Pennsylvania
"Chester County, Pennsylvania",519560,50927,32620,0.06,Chester County,Pennsylvania
"Clarion County, Pennsylvania",38715,25157,6107,0.16,Clarion County,Pennsylvania
